LRcode,leerlijn,tags
B_TI_201,Design & develop,#ontwerpen #ontwikkelen #documenteren #testen
B_TI_202,"Install, maintain & secure",#installeren #configureren #beveiligen #onderhouden #aanpassen
B_TI_203,Store & manage,#databases #beheren #technologisch #performantie
B_TI_204,Analyse & advise,#requirements #functioneel #business #BPM #changemanagement #innovatie
B_TI_205,"Capture, model & predict",#BI #AI #ML #IoT #LLM
B_TI_206,Communicate & grow,#communiceren
B_TI_207,"Capture, model & predict",#research
B_TI_208,Communicate & grow,#levenslangleren #duurzaam #ethiek #reflecteren
B_TI_209,Communicate & grow,#projectwerk #autonoom
B_TI_210,Communicate & grow,#teamwork #collectiveOwnership